rumi	jawi	jawi_niskala
philip	فيليڤ	
photoshop	فوتوشوڤ	
pian	ڤيان	
piglin	ڤيݢلين	
planetminecraft	ڤلينيت‌ماٴينکرف‌ت	
planisfera	ڤلانيسفيرا	
planisphere	ڤلانيسفير	
poppy	ڤوڤي	
prismarin	ڤريسمارين	
prismarine	ڤريسمارين	
prob	ڤروب	
probe	ڤروب	
purpur	ڤرڤر	
python	ڤاٴيثن	
q	قيو	
qiqi	چيچي	
quenn	کوٴين	
r	ار	
rahaz	راهز	
rayrune	ريئيرون	
realm	ريل‌م	
realme	ريئلمي	
realms	ريل‌م‌س	
redstone	ريدستون	
reimu	ريئيمو	
resolve	ريسول‌ۏ	
rikka	ريککا	
rintaro	رينتارو	
rio	ريو	
roasters	روسترز	
rogers	روجرز	
roksi	روکسي	
rosaria	روساريا	
roxi	روکسي	
roxy	روکشي	
rubika	روبيکا	
rudeus	روديوس	
ruijerd	رويجرد	
rust	رس	
s	ايس	
samsung	سمسوڠ	
sara	سارا	
satomi	ساتومي	
satou	ساتو	
satria	ساتريا	
satsuki	ساتسوکي	
sauros	ساوروس	
scarecro	سکيرکرو	
scarlet	سکرلت	
sculk	سکل‌ک	
sejukku	سجوقکو	
sembuhkan	سمبوهکن	
senku	سينکو	
senpai	سينڤاي	
sheila	شيلا	
shell	شيل	
shenhe	شنهى	
shiina	شينا	
shina	شينا	
shinei	شينئي	
shingeki	شينݢيکي	
shinobu	شينوبو	
shirakami	شيراکامي	
shirayuki	شيرايوکي	
shirone	شيروني	
shizuka	شيزوکا	
shopee	شوڤي	
shulker	شلکر	
siapakah	سياڤاکه	
situasinya	سيتواسيڽ	
small	سمول	
smol	سمول	
sora	سورا	
soraone	سوراوان	
staffku	ستفکو	
ston	ستون	
stone	ستون	
sucrose	سوکروس	
sumeragi	سوميراݢي	
sumorai	سوموراي	
superdia	سوڤيرديا	
suzuha	سوزوها	
suzune	سوزوني	
sy	ساي	
sy	ش	
syila	شيلا	
syina	شينا	
syinei	شينئي	
syingeki	شينݢيکي	
syinobu	شينوبو	
syirakami	شيراکامي	
syirayuki	شيرايوکي	
syizuka	شيزوکا	
sylph	سيل‌ف	
sylphiette	سيلفيئيت	
t	تي	
tabi	تابي	
tabibito	تابيبيتو	
tabitabi	تابيتابي	
takahashi	تاکاهاشي	
takahasyi	تاکاهاشي	
tengokkan	تيڠوقکن	
tensei	تينسي	
terkejutkan	ترکجوتکن	
tiktok	تيکتوک	
tnt	تي.عين.تي.	
tnt	ترينيتروتولوينا	
tokyo	توکيو	
tomoyo	تومويو	
tu	تو	
twitch	تويچ	
u	يو	
ubuntu	اوبونتو	
uchiyama	اوچيياما	
uciyama	اوچيياما	
unicode	اونيکود	
unikod	اونيکود	
urushibara	اوروشيبارا	
v	ۏي	
victor	ۏيکتور	
victorica	ۏيکتوريکا	
viktorika	ۏيکتوريکا	
w	دبليو	
waifu	وايفو	
wanderlust	وندرلس‌ت	
wasap	واسڤ	
washington	واشيڠتن	
watsons	وتسنز	
whatsapp	وتسڤ	
whatsapp	وتساڤ	
whitecat	وايتکيت	
wi-fi	واي-فاي	
wifi	وايفاي	
windows	ويندوسز	
wither	ويذر	
wyfsi	دبليو.واي.ايف.ايس.اٴي.	
wyfsi	727!	
wysi	دبليو.واي.ايس.اٴي.	
wysi	727	
x	ايک‌س	
xiaomi	شياومي	
y	واي	
yagumo	ياݢومو	
yaya	يايا	
ye	ي	
yg	يڠ	
ying	ييڠ	
yor	يور	
youko	يوکو	
yuki	يوکي	
yumi	يومي	
yun	يون	
z	زيد	
zaba	زابا	
zaba	زعبا	
za’ba	زعبا	
zen	زين	
zenith	زينيث	
zoglin	زوݢلين	
